,N°ordre,PPN,TITRE,RESUME,INDEX_UNI_AFE,INDEX_AFE,INDEX_UNI_MCR,INDEX_MCR,INDEX_UNI_JMF,INDEX_JMF,INDEX_UNI_LPL,INDEX_LPL,INDEX_UNI_LJZ,INDEX_LJZ,INDEX_UNI_MPD,INDEX_MPD,embedding_chains,embeddings_autorites
49,57,231055099,Bienvenue chez les Danois ! : un an pour découvrir les secrets du pays le plus heureux du monde,"Le Danemark, c'est bien plus que le hygge ! Alors que l'occasion lui est donné de démarrer une nouvelle vie dans le Jutland rural, la journaliste britannique Helen Russell apprend avec stupéfaction que les habitants du pays des hivers interminables, du hareng mariné et des Lego sont considérés comme les plus heureux sur Terre. Mais quel est donc le secret des Danois ? Leur bonheur est-il inné ou acquis ? Helen se donne une mission, et un an pour l'accomplir : découvrir la formule du bonheur à la danoise. Garde d'enfants, éducation, nourriture, décoration d'intérieur, impôts, mais aussi un certain sexisme et une malheureuse inclinaison pour la chasse aux sorcières... Bienvenue chez les Danois ! est le récit bourré d'humour d'un voyage qui révèle là où les Danois font bien les choses, là où ils se trompent, et comment nous pourrions tous vivre un peu plus « danoisement ».","606$3027239640$aMoeurs et coutumes$3027231585$yDanemark
606$302744662X$aQualité de la vie$3027231585$yDanemark",Moeurs et coutumes -- Danemark;;Qualité de la vie -- Danemark,606 $302728171X$aBonheur$3027599914$xSecret$3027921549$xDanois$302723158$yDanemark,Bonheur --Secret -- Danois -- Danemark,"606$302744662X$aQualité de la vie$3027231585$yDanemark 
606$3027241661$aPsychologie sociale$3027350789$yScandinavie
606$302728171X$aBonheur$302728171X$xAspect social$3027350789$yScandinavie",Qualité de la vie -- Danemark ;;Psychologie sociale -- Scandinavie;;Bonheur -- Aspect social -- Scandinavie,"606$302729661X$aEthnologie$3027231585$yDanemark
606$302744662X$aQualité de vie$3027231585$yDanemark
606$3027239640$aMoeurs et coutumes$3027231585$yDanemark",Ethnologie -- Danemark;;Qualité de vie -- Danemark;;Moeurs et coutumes -- Danemark,606$3027231429$aCulture$3027231585$yDanemark,Culture -- Danemark,"606‎$3028259297$aConditions sociales -- Danemark
606$3027239640$aMoeurs et coutumes$3027231585$yDanemark
606$302744662X$aQualité de la vie$3027231585$yDanemark",Conditions sociales -- Danemark;;Moeurs et coutumes -- Danemark;;Qualité de la vie -- Danemark,"['Danois -- Moeurs et coutumes', 'Inquiétude', 'Caractère national danois', 'Dandys', 'Roman suédois -- Traductions françaises', 'Secrets de famille']","['Danois', 'Moeurs et coutumes', 'Inquiétude', 'Caractère national danois', 'Dandys', 'Roman suédois', 'Traductions françaises', 'Secrets de famille']"
50,41,231860838,La justice prédictive,"La 4e de couv. : ""L'idée de prédiction appliquée aux décisions judiciaires a été de longue date revendiquée par les grands théoriciens américains du droit. Toutefois, la puissance des traitements informatiques et l'intelligence artificielle la rendent dorénavant crédible à grande échelle. Si les décisions judiciaires et à travers elles les comportements des individus ou des entreprises sont en masse analysé, structurés, corrélés, le législateur, les juges, les experts, les enquêteurs ne se verront-ils pas incités à respecter ces nouvelles ""normes numériques"" et les justiciables tentés d'éviter la ""case procés"" par la négociation de gré à gré sur des plateformes ? Ce volume rassemble plus d'une vingtaine de contributions d'universitaires et de praticiens, magistrats civils et administratifs, avocats, entrepreneurs, qui recentrent le concept de justice prédictive, en montrent les limites théoriques et pratiques mais aussi dessinent les opportunités, sous des conditions juridiques et techniques précises propres à chaque branche du droit, qu'offrent le traitement de masse des données juridiques pour un droit et une justice à la fois plus efficaces et plus équitables.""","606$3234719648$aJustice prédictive
606$3031390366$aProcessus judiciaire$3027234886$xInformatique
606$3027466868$aDroit$3027466655$xPrise de décision",Justice prédictive;;Processus judiciaire -- Informatique;;Droit -- Prise de décision,"606 $3234719648$aJustice prédictive$3149860544$xTechnique et droit
606 $3027234541$aIntelligence artificielle$3234719648$xJustice prédictive",Justice prédictive -- Technique et droit;;Intelligence artificielle -- Justice prédictive,606$3234719648$aJustice prédictive ,Justice prédictive,"606$3234719648$aJustice prédictive
606$3027234541$aIntelligence artificielle$3027466868$xDroit
606$3027282171$aAlgorithmes$3027466868$xDroit",Justice prédictive;;Intelligence artificielle -- Droit;;Algorithmes -- Droit,"606$3234719648$aJustice prédictive
606$3027234886$aInformatique$3027466868$xDroit
606$3027234541$aIntelligence artificielle",Justice prédictive;;Informatique -- Droit;;Intelligence artificielle,"606‎$3234719648$aJustice prédictive‎
606$3027282171$aAlgorithmes
606‎$3027517470$aDroit -- Informatique‎$3027791157$xAspect moral‎$3027226794$yFrance‎",Justice prédictive;;Algorithmes;;Droit -- Informatique -- Aspect moral -- France,"['Justice prédictive', 'E-justice', 'Droit -- Informatique -- Aspect moral', 'Automatisation -- Aspect moral', 'Procédure pénale -- Aspect moral', 'Algorithmes -- Droit']","['Justice prédictive', 'E-justice', 'Droit', 'Informatique', 'Aspect moral', 'Automatisation', 'Aspect moral', 'Procédure pénale', 'Aspect moral', 'Algorithmes', 'Droit']"
51,26,232821909,Les oscillations de Joseph Fourier : en BD,"Référence pour la communauté scientifique mais personnalité peu connue du grand public, Joseph Fourier est un mathématicien qui vécut une existence aux mille rebondissements. Après s'être engagé dans la Révolution française, il explore l'Egypte lors des expéditions napoléoniennes et fonde l'Université de Grenoble... Musique, photographie, laser ou télécommunications sont autant de domaines que nous maîtrisons aujourd'hui grâce à Joseph Fourier","
606$3027248275$aSciences$302726470X$zHistoire
606$302723391X$aScientifiques$3027226794$yFrance$3027794059$z19e siècle
606$3032679432$aProgrès scientifique et technique$3027794059$z19e siècle",Sciences -- Histoire;;Scientifiques -- France -- 19e siècle;;Progrès scientifique et technique -- 19e siècle,"6006$3027818977‎$aMathématiciens
606 $3031400515$aOscillations$302723875X$xMathématiques",Mathématiciens;;Mathématiques -- Oscillations,"606$3027801284$aPhysique mathématique$3027794059$z19e siècle
606$3033834229$aScientifiques français ",Physique mathématique -- 19e siècle;;Scientifiques français,"606$3027818977$aMathématiciens
606$302723875X$aMathématiques‎$3077318714$z1800-...",Mathématiciens;;Mathématiques -- 1800-...,"606$3108812545$aGuerre de la deuxième coalition (1798-1801)$xCampagnes et batailles$yEgypte
606$3027227197$aFouriérisme
606$3027253562$aTechnique$3027794059$z19e siècle",Guerre de la deuxième coalition (1798-1801) -- Campagnes et batailles -- Egypte;;Fouriérisme;;Technique -- 19e siècle,"606$3027818977$aMathématiciens‎$3027794059$z19e siècle‎
606‎$302723875X$aMathématiques‎$3027794059$z19e siècle‎",Mathématiciens -- 19e siècle;;Mathématiques -- 19e siècle,"['Fourier', ' Séries de', 'Ondelettes', 'Fourier', ' Analyse de', 'Musique et mathématiques', 'Flûte -- Histoire', 'Analyse harmonique (mathématiques)']","['Fourier', ' Séries de', 'Ondelettes', 'Fourier', ' Analyse de', 'Musique et mathématiques', 'Flûte', 'Histoire', 'Analyse harmonique (mathématiques)']"
52,60,234544538,L'alliance contre-nature : quand les religions nourrissent le populisme,"La 4e de couverture indique : ""Comment des religions, qui prônent l'amour des ennemis, peuvent-elles composer avec le populisme, qui déchaîne l'exclusion et la haine? En réponse à cette question, cet essai dévoile les contradictions internes d'un «populisme chrétien» et dénonce la dialectique agressive créée conjointement par le repli identitaire chrétien en Occident et les intégrismes islamistes en Orient.""","606$3031016340$aPopulisme
606$3027241947$aReligion et politique",Populisme;;Religion et politique,606 $3031016340$aPopulisme$3027241947xReligion et politique,Populisme -- Religion et politique,"606$322517135X$aIntolérance religieuse 
606$3027241947$aReligion et politique 
606$3027268055$aReligions$3031016340$xPopulisme ",Intolérance religieuse ;;Religion et politique ;;Religions -- Populisme,"606$3027616924$aIntégrisme islamique
606$3031016340$aPopulisme‎$3027660540$xAspect religieux
606$3027241947$aReligion et politique
",Intégrisme islamique;;Populisme -- Aspect religieux;;Religion et politique,"606$3031016340$aPopulisme
606$3027241947$aReligion et politique
606$302722998X$aChristianisme et politique",Populisme;;Religion et politique;;Christianisme et politique,"606$3031016340$aPopulisme
606$3027241947$aReligion et politique",Populisme;;Religion et politique,"['Religion et politique', 'Christianisme', 'Religions', 'Islam et État', 'Islam et politique', 'Religion et morale']","['Religion et politique', 'Christianisme', 'Religions', 'Islam et État', 'Islam et politique', 'Religion et morale']"
53,56,235109614,Manuel d'analyse des politiques publiques à l'usage des ingénieurs et des urbanistes : exemples dans le domaine de l'eau et de l'environnement,"Qui est le public concerné par un aménagement ? Peut-on en présenter les enjeux sans les politiser ? Est-ce que les non-experts sont légitimes sur les sujets techniques ? Pourquoi certains discours portent plus que d’autres ? Qu’est-ce qui fait le succès d’une décision ? Les ingénieurs et les urbanistes qui ont affaire à des décisions publiques expriment souvent le besoin d’être accompagnés dans leur réflexivité pour comprendre ce qu’il se joue au niveau politique et comment ils interviennent eux-même dans ce contexte. Ce manuel leur est destiné. Il offre des clés d’analyse sur la construction des problèmes publics, la conception, l’adoption et la mise en œuvre des politiques publiques en France. La sociologie de l’action publique est expliquée ici de manière simple et mise en contexte par de nombreux exemples pris dans le domaine de l’eau et de l’environnement.","
606$3027232492$aEau$3028693264$xPolitique publique$3050195700$xÉtudes d'impact (administration publique)
606$3027772616$aEnvironnement$3028693264$xPolitique publique$3050195700$xÉtudes d'impact (administration publique)",Eau -- Politique publique -- Études d'impact (administration publique);;Environnement -- Politique publique -- Études d'impact (administration publique),"606 $3027254925$aUrbanisme$3028693264$xPolitique publique
606 $3027880249$3aÉcologie des eaux$3028693264$xPolitique publique
606 $3027224104$aPolitique de l'environnement",Urbanisme -- Politique publique;;Écologie des eaux -- Politique publique;;Politique de l'environnement,"606$3050195700$aÉtudes d'impact (administration publique)
606$3027257479$aAménagement du territoire$3049647490$xSociologie 
606$3027224104$aPolitique de l'environnement$3027466655$xPrise de décision",Études d'impact (administration publique);;Aménagement du territoire -- Sociologie ;;Politique de l'environnement -- Prise de décision,"606$3028693264$aPolitique publique$3027226794$yFrance‎
606$3027232492$aEau$3028693264$xPolitique publique$3027226794$yFrance‎
606$3027772616$aEnvironnement$3028693264$xPolitique publique$3027226794$yFrance‎",Politique publique -- France;;Eau -- Politique publique -- France;;Environnement -- Politique publique -- France,"606$3027257479$aAménagement du territoire$3028693264$xPolitique publique$3027226794$yFrance
606$3027296377$aGénie civil$3028693264$xPolitique publique$3027226794$yFrance
606$3027254925$aUrbanisme$3027519813$xParticipation des citoyens$3027226794$yFrance",Aménagement du territoire -- Politique publique -- France;;Génie civil -- Politique publique -- France;;Urbanisme -- Participation des citoyens -- France,"606‎$3027254925$aUrbanisme‎$3028693264$xPolitique publique‎$3027226794$yFrance‎
606‎$3032137087$aEau -- Politique publique‎$3027226794$yFrance
606$3027772616$aEnvironnement$3028693264$xPolitique publique$3027226794$yFrance
",Urbanisme -- Politique publique -- France;;Eau -- Politique publique -- France;;Environnement -- Politique publique -- France,"['Décision politique', 'Politique publique', 'Politique publique -- Évaluation', 'Sociologie politique', 'Politique publique -- Sociologie', 'Lobbying']","['Décision politique', 'Politique publique', 'Politique publique', 'Évaluation', 'Sociologie politique', 'Politique publique', 'Sociologie', 'Lobbying']"
54,20,235130273,Un  lion sur le canapé : comment les chats ont pris le pouvoir,"Partout, on trouve des chats ! Ils sont même sur Internet, où certaines vidéos qui les mettent en scène sont vues plus de dix millions de fois. Comment les chats ont-ils donc réussi à dominer le monde, alors qu'ils ne sont pas utiles à l'homme - pas même pour attraper les rats !Abigail Tucker, journaliste au Smithsonian Magazine, est allée à la rencontre d'éleveurs, de scientifiques et de militants qui ont consacré leur vie aux chats, elle a sillonné des étendues sauvages sur leurs traces et a même rencontré certaines des plus grandes célébrités félines afin de saisir la manière dont les chats ont conquis le monde et nos coeurs.En la suivant dans cette aventure haute en couleur à travers l'histoire, les sciences naturelles et la culture populaire, vous comprendrez comment ces petites créatures ont su utiliser leur relation avec les humains pour compter parmi les animaux les plus puissants de la planète. Best-seller du New York Times, en tête des ventes aux États-Unis pendant plusieurs semaines, ce livre vous permettra aussi de mieux connaître votre animal préféré.","606$3027280357$aChat domestique$3027243753$xComportement animal
606‎$3028718445$aRelations homme-animal‎",Chat domestique -- Comportement animal;;Relations homme-animal,"606 $3031452566$aChats$3050557017$xComportement social des animaux
606 $3031452566$aChats$3028718445$xRelations homme-animal",Chats -- Comportement social des animaux;;Chats -- Relations homme-animal,"606$3031452566$aChats$3027235181$xIntelligence
606$3028718445$aRelations homme-animal
606$3027243745$aAnimaux$3027346900$xPsychologie",Chats -- Intelligence;;Relations homme-animal;;Animaux -- Psychologie,"606$3027280357$aChat domestique$3027346900$xPsychologie
606 $3028718445$aRelations homme-animal
606 $3027259374$aAnimaux et civilisation",Chat domestique -- Psychologie;;Relations homme-animal;;Animaux et civilisation,"606$3027280357$aChat domestique$3027791246$xInfluence
606$3031452566$aChats$3027791246$xInfluence",Chat domestique -- Influence;;Chats -- Influence,"606‎$3027280357$aChat domestique‎$3027243753$xComportement animal
606‎$3027280357$aChat domestique‎$3262288710$xAspect socio-culturel
606$3028718445$aRelations homme-animal",Chat domestique -- Comportement animal;;Chat domestique -- Aspect socio-culturel;;Relations homme-animal,"['Chat domestique -- Comportement animal', 'Chat domestique', 'Chat domestique -- Histoire', 'Chats', 'Chat domestique -- Ouvrages humoristiques', 'Chats -- Aspect parapsychique -- Anecdotes']","['Chat domestique', 'Comportement animal', 'Chat domestique', 'Chat domestique', 'Histoire', 'Chats', 'Chat domestique', 'Ouvrages humoristiques', 'Chats', 'Aspect parapsychique', 'Anecdotes']"
55,40,235280011,Grands arrêts du droit de la concurrence : 2004-2018,"Ce troisième tome des Grands arrêts du droit de la concurrence couvre la pratique décisionnelle et la jurisprudence en matière de pratiques commerciales déloyales et de contrats de distribution. L'ouvrage réunit plus de 120 commentaires de décisions européennes et nationales parus dans la revue Concurrences de 2004 à 2018. Le tome premier des Grands arrêts couvre les pratiques anticoncurrentielles (Art. 101, 102 TFUE) et le tome second, les concentrations.","606$302779976X$aConcurrence$3027466868$xDroit
606$3027849007$aConcurrence déloyale ",Concurrence -- Droit;;Concurrence déloyale,606 $3027849007$aConcurrence déloyale$3050124153$xDroit commercial$3029511259$xCommentaires d'arrêts,Concurrence déloyale -- Droit commercial -- Commentaires d'arrêts,"606$302779976X$aConcurrence$3027466868$xDroit
606$3191965243$aContentieux de la concurrence$302847094X$xJurisprudence 
606$3029511259$aCommentaires d'arrêts",Concurrence -- Droit;;Contentieux de la concurrence -- Jurisprudence ;;Commentaires d'arrêts,"606$302779976X$aConcurrence$3027772616$xDroit$3027226794$yFrance$3050665391$z2000-….
606$3027467171$aDroit européen$302773563X$xCommerce$3050665391$z2000-….",Concurrence -- Droit -- France -- 2000-….;;Droit européen -- Commerce -- 2000-….,"606$3027849007$aConcurrence déloyale$3050627597$xDroit international
606$3050124153$aDroit commercial$3027226794$yFrance
606$302779976X$aConcurrence$3027466868$xDroit$3027226794$yFrance",Concurrence déloyale -- Droit international;;Droit commercial -- France;;Concurrence -- Droit -- France,"606‎$3027849007Concurrence déloyale‎$3027466868$sDroit$302847094XJurisprudence‎$2rameau
606‎$3034712852Circuits de distribution -- Droit‎$302847094XJurisprudence‎$2rameau",Concurrence déloyale -- Jurisprudence;;Circuits de distribution -- Droit -- Jurisprudence,"['Contrôle des concentrations -- Jurisprudence', 'Concurrence déloyale', 'Autorités de régulation et de surveillance financière', 'Faillite', 'Droit des affaires', 'Sûretés (droit)']","['Contrôle des concentrations', 'Jurisprudence', 'Concurrence déloyale', 'Autorités de régulation et de surveillance financière', 'Faillite', 'Droit des affaires', 'Sûretés (droit)']"
56,72,235755265,"Les hostas : les meilleurs choix, les plus beaux feuillages, tous les conseils pour les cultiver","La 4ème de couverture indique : Les Hostas comptent parmi les plantes les plus faciles à cultiver dans nos jardins. Pourquoi ? Parce qu'elles n'exigent qu'un minimum de soins et qu'il n'est pas nécessaire de les diviser. De plus ce sont des plantes d'ombre, bien qu'il existe aujourd'hui des variétés qui tolèrent l'ensoleillement. Dans ce livre, le premier du genre en français, retrouvez plus de 200 cultivars vendus dans la plupart des pépinières. Découvrez tous les secrets de leur culture et de leur entretien et apprenez à les intégrer harmonieusement dans l'aménagement de vos plates-bandes. L'auteur révèle ici ses coups de cur, présente des listes par catégories et illustre son propos avec plus de 450 photos en couleurs. Les hostas s'imposent assurément comme un ouvrage de référence pour tous les amateurs de jardinage","606$3032427840$aHosta$3027235505$xJardinage
$3059306688$aPlantes pour massifs",Hosta -- Jardinage;;Plantes pour massifs,606 $3032427840$aHosta$3027245055$xPlantes vivaces$3029519195$3027235505$xJardinage,Hosta -- Plantes vivaces -- Jardinage,"606$3032427840$aHosta$3027235505$xJardinage
606$3032427840$aHosta$302768010X$xVariétés
606$3033157995$aJardins$xAménagement végétal",Hosta -- Jardinage;;Hosta -- Variétés;;Jardins -- Aménagement végétal,"606$3032427840$aHosta$3028662172$xCulture
606$3032427840$aHosta$302768010X$xVariétés",Hosta -- Culture;;Hosta -- Variétés,606$3151385289$aPlates-bandes (jardins),Plates-bandes (jardins),"606$3032427840$aHosta$3028662172$xCulture
606$3032427840$aHosta$302768010X$xVariétés
606$3033157995$aJardins -- Aménagement végétal",Hosta -- Culture;;Hosta -- Variétés;;Jardins -- Aménagement végétal,"[""Jardinage d'intérieur"", 'Cultures potagères', 'Jardins potagers', 'Plantes comestibles', 'Plantes -- Aspect parapsychique', 'Organismes transgéniques']","[""Jardinage d'intérieur"", 'Cultures potagères', 'Jardins potagers', 'Plantes comestibles', 'Plantes', 'Aspect parapsychique', 'Organismes transgéniques']"
57,39,236616587,Droit général de l'environnement : introduction au droit de l'environnement,"La 4e de couv. indique : ""L'ouvrage présente les fondements du droit de l'environnement en un cours élémentaire. Simple et précis, étayé par des extraits de textes et de jurisprudence, enrichi de la doctrine française et étrangère, il aborde l'essentiel du droit de l'environnement en situant ce droit vital parvenu à maturité dans ses dimensions théorique et juridique. L'objectif premier est de le comprendre pour l'aimer. Il s'agit de donner la grammaire de cet ordre juridique, en montrant les logiques et les articulations à l'oeuvre en droit international et européen de l'environnement, comme en droit public, pénal, privé et fiscal de l'environnement. Le parti est pris d'une pédagogie démonstrative faite de méthode et d'analyses claires, renforcée par des synthèses bibliographiques sélectives, un index raisonné, une table des jurisprudences exposées et des encadrés qui mettent en lumière des points cruciaux. Le livre s'adresse d'abord aux étudiants. Il est aussi destiné aux praticiens, aux institutions et aux citoyens""",606$3027772616$aEnvironnement$3027466868$xDroit,Environnement -- Droit,606 $3027772616$aEnvironnement$3027466868$xDroit$3027789853$xÉtude et enseignement,Environnement -- Droit -- Étude et enseignement,606$3027772616$aEnvironnement$3027466868$xDroit,Environnement -- Droit,606$3027772616$aEnvironnement$3027772616$xDroit,Environnement -- Droit,"606$3027772616$aEnvironnement$3027466868$xDroit$3027226794$yFrance
606$3027772616$aEnvironnement$3050627597$xDroit international",Environnement -- Droit -- France;;Environnement -- Droit international,606‎$3027224082$aEnvironnement -- Droit‎$3027226794$yFrance‎,Environnement -- Droit -- France,"[""Gestion de l'environnement -- Manuels d'enseignement supérieur"", ""Infractions contre l'environnement"", ""Politique de l'environnement -- Manuels d'enseignement supérieur"", ""Environnement -- Protection -- Droit -- Manuels d'enseignement supérieur"", ""Responsabilité pour dommages à l'environnement"", 'Développement durable -- Droit']","[""Gestion de l'environnement"", ""Manuels d'enseignement supérieur"", ""Infractions contre l'environnement"", ""Politique de l'environnement"", ""Manuels d'enseignement supérieur"", 'Environnement', 'Protection', 'Droit', ""Manuels d'enseignement supérieur"", ""Responsabilité pour dommages à l'environnement"", 'Développement durable', 'Droit']"
58,7,236660640,Fantasy et histoire(s) : colloque des Imaginales,"L a 4e de couverture indique : ""La fantasy, ou ""l'histoire-fiction"" ? Ce livre rassemble les actes du premier colloque universitaire organisé dans le cadre du Festival des Imaginales, entièrement consacré à la fantasy sous l'angle de ses rapports avec l'Histoire. Seize articles de spécialistes s'intéressent aussi bien aux romans (Eddison, Tolkien, Le Guin, Rowling) qu'aux formes audiovisuelles ou encore au vaste domaine des jeux de rôle et des reconstitutions historiques. Érudit mais très accessible, il donne un éclairage nouveau sur ce genre, actualisant sa place dans les littératures de l'imaginaire""",606$3098901753$aFantasy$3028633067$xCritique et interprétation,Fantasy -- Critique et interprétation,606 $3098901753$aFantasy$3027258661$xLittérature et histoire,Fantasy -- Littérature et histoire,"606$3098901753$aFantasy
606$3234853859$aHistoire (discipline)$3028054679$xDans la littérature
606$3027223191$aCinéma et histoire ",Fantasy;;Histoire (discipline) -- Dans la littérature;;Cinéma et histoire,"606$3098901753$aFantasy$3028633067$xCritique et interprétation
606$3252470664$aFilms de fantasy",Fantasy -- Critique et interprétation;;Films de fantasy,"606$3240649370$aRoman de science-fiction
606$3098901753$aFantasy
606$3027225941$aFilms de science-fiction",Roman de science-fiction;;Fantasy;;Films de science-fiction,"$3098901753$aFantasy
$3214972828$aHistoire et fiction",Fantasy;;Histoire et fiction,"['Moyen âge -- Dans la littérature pour la jeunesse', 'Transfictionnalité', 'Théorie de la fiction', 'Littérature et histoire', 'Genres littéraires', 'Cinéma et histoire']","['Moyen âge', 'Dans la littérature pour la jeunesse', 'Transfictionnalité', 'Théorie de la fiction', 'Littérature et histoire', 'Genres littéraires', 'Cinéma et histoire']"
59,29,237131560,"Maths [concours 2020] : admissibilité, écrit","Une préparation à l'épreuve d'admissibilité de mathématiques du concours de recrutement de professeur des écoles : cours, exercices et sujets corrigés, conseils méthodologiques ou encore annales corrigées.",606$302723875X$aMathématiques$3035557826$xConcours de recrutement de professeurs des écoles,Mathématiques -- Concours de recrutement de professeurs des écoles,606$302723875X$aMathématiques$3027797538$xConcours$3027789853$xÉtude et enseignement,Mathématiques -- Concours -- Étude et enseignement,606$3035557826$aConcours de recrutement de professeurs des écoles$302723875X$xMathématiques,Concours de recrutement de professeurs des écoles -- Mathématiques,"606$302723875X$aMathématiques
606$3035557826$aConcours de recrutement de professeurs des écoles",Mathématiques;;Concours de recrutement de professeurs des écoles,606$302723875X$aMathématiques$3027797538$xConcours,Mathématiques -- Concours,606‎$3035557826$aConcours de recrutement de professeurs des écoles‎‎$302723875X$xMathématiques,Concours de recrutement de professeurs des écoles -- Mathématiques,"[""Écoles supérieures du professorat et de l'éducation -- Examens d'entrée"", ""Mathématiques -- Questions d'examens"", 'Mathématiques -- Problèmes et exercices', ""Mathématiques -- Manuels d'enseignement secondaire (Deuxième cycle)"", 'Mathématiques -- Étude et enseignement', ""Mathématiques -- Manuels d'enseignement secondaire (Premier cycle)""]","[""Écoles supérieures du professorat et de l'éducation"", ""Examens d'entrée"", 'Mathématiques', ""Questions d'examens"", 'Mathématiques', 'Problèmes et exercices', 'Mathématiques', ""Manuels d'enseignement secondaire (Deuxième cycle)"", 'Mathématiques', 'Étude et enseignement', 'Mathématiques', ""Manuels d'enseignement secondaire (Premier cycle)""]"
60,97,237156989,Le photojournalisme peut-il sauver la presse ,"Hubert Henrotte est le créateur avec quatre confrères de l'agence de photojournalisme, GAMMA et SYGMA qu'il a dirigées pendant plus de 30 ans. Il revient sur la période où le photographe s'alliait au journalisme, sur l'identité du métier, sur la nécessité de créer une agence. Il raconte aussi les impératifs du métier de photographe qui trouve le terrain par lui-même. Depuis, l'époque a changé et ce regard en arrière permet aujourd'hui de se redéfinir dans ce métier qui semblerait en voie d'extension. Il n'est pas le seul à se soucier du métier de photojournaliste et de l'avenir de la presse. Car les dirigeants de la presse et les photographes célèbres qu'il a interviewés ici avec la collaboration de Floris de Bonneville lui donnent leur vision de la situation actuelle et expliquent chacun leur façon de fonctionner dans leurs collaborations ou livrent leur regard sur le métier tel qu'il est aujourd'hui. Soucieuses de préserver une éthique du métier mais aussi son économie, qui, comme dans le passé, devait pouvoir les faire vivre, les personnes interviewées permettent de mieux connaître l'envers du décor d'un métier complexe, parfois au péril de la vie de celui qui l'exerce. L'auteur s'interroge sur l'avenir et fait des propositions, là aussi appuyées par les interviews des différents acteurs du photojournalisme et de la communication. L'ouvrage est une référence pour établir un état des lieux dans le milieu de l'information et pour proposer des réponses aux questions d'actualité.","606$3027555976$aPhotographie de presse
606$3027857891$aPhotographes de presse",Photographie de presse;;Photographes de presse,606 $3027555976$aPhotographie de presse$302736075X$aSystèmes d'information,Photographie de presse -- Systèmes d'information,"606$3027555976$aPhotographie de presse
606$3027857891$aPhotographes de presse$3088490025$xIdentité professionnelle ",Photographie de presse;;Photographes de presse -- Identité professionnelle,"606‎$3027555976$aPhotographie de presse‎$302726470X$xHistoire
606$3027857891$aPhotographes de presse$3027244393$xOrientation professionnelle
606$3027267458$aReportage$302726470X$xHistoire",Photographie de presse -- Histoire;;Photographes de presse -- Orientation professionnelle;;Reportage -- Histoire,"606$3027555976$aPhotographies de presse$302726470X$zHistoire
606$3027857891$aPhotographes de presse
606$3027529126$aAgences de presse$302726470X$zHistoire",Photographies de presse -- Histoire;;Photographes de presse;;Agences de presse -- Histoire,"606$3027555976$aPhotographie de presse
606$3027857891$aPhotographes de presse$3027244393$xOrientation professionnelle
606$3027529126$aAgences de presse$302726470X$zHistoire",Photographie de presse;;Photographes de presse -- Orientation professionnelle;;Agences de presse -- Histoire,"['Photographie de presse', 'Agences de presse', 'Photographes de presse', 'Photographie -- Philosophie', 'Photographes de presse -- Orientation professionnelle', 'Photographie -- Esthétique']","['Photographie de presse', 'Agences de presse', 'Photographes de presse', 'Photographie', 'Philosophie', 'Photographes de presse', 'Orientation professionnelle', 'Photographie', 'Esthétique']"
